,country,variable,1998-2002,2003-2007,2008-2012,2013-2017
489,Cyprus,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.1452,0.1366666667,0.1239
490,Cyprus,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),216.4723718435,203.6263541012,223.7794767789,263.6312620902
491,Cyprus,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
492,Cyprus,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
493,Cyprus,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
495,Czechia,Rural population (1000 inhab),2685.263,2748.296,2837.581,2795.276
496,Czechia,Urban population (1000 inhab),7567.176,7608.29,7749.174,7823.027
497,Czechia,Population density (inhab/km2),129.9893622417,131.3241790288,134.1611892988,134.9186509446
498,Czechia,GDP per capita (current US$/inhab),7989.413672,18271.210375,19588.289993,20334.091525
499,Czechia,Human Development Index (HDI) [highest = 1] (-),0.813,0.85,0.865,0.888
500,Czechia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1842,0.1462,0.1033333333,0.0914
501,Czechia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),186.1052893601,190.1030920669,173.9862982719,153.2181928937
502,Czechia,Total population with access to safe drinking-water (JMP) (%),99.8,99.9,100.0,100.0
503,Czechia,Rural population with access to safe drinking-water (JMP) (%),99.6,99.8,100.0,100.0
504,Czechia,Urban population with access to safe drinking-water (JMP) (%),99.9,99.9,100.0,100.0
517,Democratic Republic of the Congo,Rural population (1000 inhab),31867.429,35944.533,40641.055,45647.604
518,Democratic Republic of the Congo,Urban population (1000 inhab),17968.327,22473.029,28337.627,35692.384
519,Democratic Republic of the Congo,Population density (inhab/km2),21.2685047295,24.9284319746,29.4349116792,34.7136988989
520,Democratic Republic of the Congo,GDP per capita (current US$/inhab),175.135745,286.508198,424.859809,462.779322
521,Democratic Republic of the Congo,Human Development Index (HDI) [highest = 1] (-),0.34,0.382,0.423,0.456
522,Democratic Republic of the Congo,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6726,0.67,0.673
523,Democratic Republic of the Congo,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),12.5101094477,11.6947293124,9.9042683499,8.398161918
524,Democratic Republic of the Congo,Total population with access to safe drinking-water (JMP) (%),47.9,49.7,51.4,52.4
525,Democratic Republic of the Congo,Rural population with access to safe drinking-water (JMP) (%),27.4,28.8,30.3,31.2
526,Democratic Republic of the Congo,Urban population with access to safe drinking-water (JMP) (%),84.3,83.1,81.8,81.1
528,Denmark,Rural population (1000 inhab),792.499,749.746,721.427,701.971
529,Denmark,Urban population (1000 inhab),4580.302,4720.211,4889.233,5031.58
530,Denmark,Population density (inhab/km2),124.6878858204,126.9417730332,130.7315936626,140.0506718788
531,Denmark,GDP per capita (current US$/inhab),33247.991084,58395.947397,58308.452118,57454.289221
532,Denmark,Human Development Index (HDI) [highest = 1] (-),0.883,0.904,0.924,0.929
533,Denmark,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.0746,0.068,0.06,0.0484
534,Denmark,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),124.3113229022,104.3525125866,127.5173765817,129.285515661
535,Denmark,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
536,Denmark,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
537,Denmark,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
561,Dominican Republic,Rural population (1000 inhab),3235.194,2849.396,2457.254,2123.575
562,Dominican Republic,Urban population (1000 inhab),5597.091,6654.957,7697.696,8643.423
563,Dominican Republic,Population density (inhab/km2),179.268029587,191.8812615574,204.0459420588,216.0078898706
564,Dominican Republic,GDP per capita (current US$/inhab),2904.654716,4606.383677,5973.229563,7059.653433
565,Dominican Republic,Human Development Index (HDI) [highest = 1] (-),0.662,0.689,0.708,0.741
566,Dominican Republic,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.52,0.5108,0.5053333333,0.4773
567,Dominican Republic,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),585.3311900607,657.9389071108,797.9888260056,863.484276385
568,Dominican Republic,Total population with access to safe drinking-water (JMP) (%),86.7,86.3,85.4,84.7
569,Dominican Republic,Rural population with access to safe drinking-water (JMP) (%),78.7,79.9,81.2,81.9
570,Dominican Republic,Urban population with access to safe drinking-water (JMP) (%),91.3,89.0,86.8,85.4
572,Ecuador,Rural population (1000 inhab),5082.637,5383.366,5707.115,6039.811
573,Ecuador,Urban population (1000 inhab),7989.423,8822.087,9712.551,10585.047
574,Ecuador,Population density (inhab/km2),51.2675625073,55.7653274564,60.3584701798,65.4731871904
575,Ecuador,GDP per capita (current US$/inhab),2183.966796,3590.718086,5702.104313,6273.488892
576,Ecuador,Human Development Index (HDI) [highest = 1] (-),0.679,0.706,0.74,0.757
577,Ecuador,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4982,0.4698,0.435,0.4073
578,Ecuador,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),729.5108253417,693.7334632387,640.9419196631,590.8720104381
579,Ecuador,Total population with access to safe drinking-water (JMP) (%),80.8,83.3,85.9,86.9
580,Ecuador,Rural population with access to safe drinking-water (JMP) (%),68.4,71.4,74.3,75.5
581,Ecuador,Urban population with access to safe drinking-water (JMP) (%),88.6,90.6,92.6,93.4
583,Egypt,Rural population (1000 inhab),41457.204,45274.468,50100.764,55893.406
584,Egypt,Urban population (1000 inhab),31132.914,34262.785,37712.493,41659.745
585,Egypt,Population density (inhab/km2),71.3815397673,78.1188536622,86.2971121873,96.30295172
586,Egypt,GDP per capita (current US$/inhab),1191.921608,1661.678543,3149.140561,2000.297246
587,Egypt,Human Development Index (HDI) [highest = 1] (-),0.621,0.651,0.676,0.696
588,Egypt,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6376,0.598,0.583,0.5726
589,Egypt,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),982.5831677824,959.8358607818,836.5901819975,803.5868716966
590,Egypt,Total population with access to safe drinking-water (JMP) (%),96.4,97.6,98.8,99.4
591,Egypt,Rural population with access to safe drinking-water (JMP) (%),94.8,96.4,98.0,99.0
592,Egypt,Urban population with access to safe drinking-water (JMP) (%),98.4,99.2,99.9,100.0
594,El Salvador,Rural population (1000 inhab),2375.312,2264.614,2041.361,1832.049
595,El Salvador,Urban population (1000 inhab),3564.991,3818.861,4179.885,4545.804
596,El Salvador,Population density (inhab/km2),283.3714828897,290.200095057,296.479230038,303.6181558935
597,El Salvador,GDP per capita (current US$/inhab),2131.909815,2796.387074,3437.599641,3908.521206
598,El Salvador,Human Development Index (HDI) [highest = 1] (-),0.619,0.644,0.66,0.665
599,El Salvador,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.4966,0.4493333333,0.4269
600,El Salvador,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),280.5605239465,346.8827231768,339.536092382,331.5526337458
601,El Salvador,Total population with access to safe drinking-water (JMP) (%),83.4,87.7,91.6,93.8
602,El Salvador,Rural population with access to safe drinking-water (JMP) (%),67.9,75.0,82.2,86.5
603,El Salvador,Urban population with access to safe drinking-water (JMP) (%),93.8,95.2,96.6,97.5
627,Estonia,Rural population (1000 inhab),427.045,423.663,424.323,409.687
628,Estonia,Urban population (1000 inhab),955.687,920.409,900.611,899.945
629,Estonia,Population density (inhab/km2),30.5711253593,29.7213353969,29.2540128233,29.0999117777
630,Estonia,GDP per capita (current US$/inhab),5331.870189,16696.11391,17504.803438,20508.891852
631,Estonia,Human Development Index (HDI) [highest = 1] (-),0.799,0.839,0.859,0.879
632,Estonia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.2704,0.21925,0.164875,0.1638
633,Estonia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1021.8899974832,1364.2828662735,1232.6560904623,1352.8221375029
634,Estonia,Total population with access to safe drinking-water (JMP) (%),99.1,99.3,99.5,99.6
635,Estonia,Rural population with access to safe drinking-water (JMP) (%),97.6,98.2,98.7,99.0
636,Estonia,Urban population with access to safe drinking-water (JMP) (%),99.8,99.8,99.9,100.0
638,Eswatini,Rural population (1000 inhab),838.528,889.921,962.964,1044.238
639,Eswatini,Urban population (1000 inhab),242.402,248.513,285.194,323.016
640,Eswatini,Population density (inhab/km2),58.7015552995,60.0605990783,62.1709677419,64.7929147465
641,Eswatini,GDP per capita (current US$/inhab),1324.990322,3047.496058,3915.065544,3251.938239
642,Eswatini,Human Development Index (HDI) [highest = 1] (-),0.445,0.482,0.542,0.603
643,Eswatini,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5986,0.563,0.5333333333,0.5572
644,Eswatini,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1032.7174383426,1024.3110836597,989.5412531224,949.4979129716
645,Eswatini,Total population with access to safe drinking-water (JMP) (%),55.6,64.8,74.2,74.1
646,Eswatini,Rural population with access to safe drinking-water (JMP) (%),45.7,57.3,68.9,68.9
647,Eswatini,Urban population with access to safe drinking-water (JMP) (%),89.6,91.6,93.6,93.6
671,Fiji,Rural population (1000 inhab),418.511,411.92,408.88,400.76
672,Fiji,Urban population (1000 inhab),397.18,422.892,464.716,504.742
673,Fiji,Population density (inhab/km2),44.6227148331,45.7684729064,47.3491516147,48.0273125342
674,Fiji,GDP per capita (current US$/inhab),2288.98694,4046.764379,4546.755785,5912.155229
675,Fiji,Human Development Index (HDI) [highest = 1] (-),0.678,0.691,0.702,0.721
676,Fiji,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3939111111,0.4111888889,0.4181
677,Fiji,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),101.7838546618,101.5319484806,98.1424603124,96.756657576
678,Fiji,Total population with access to safe drinking-water (JMP) (%),91.6,93.8,95.6,95.7
679,Fiji,Rural population with access to safe drinking-water (JMP) (%),86.3,89.0,91.2,91.2
680,Fiji,Urban population with access to safe drinking-water (JMP) (%),97.2,98.5,99.5,99.5
682,Finland,Rural population (1000 inhab),912.167,891.744,820.527,810.547
683,Finland,Urban population (1000 inhab),4301.206,4406.27,4592.453,4712.684
684,Finland,Population density (inhab/km2),15.4173177584,15.6543318953,16.0001477454,16.2841512779
685,Finland,GDP per capita (current US$/inhab),26805.051927,48327.433191,47719.525035,46180.40861
686,Finland,Human Development Index (HDI) [highest = 1] (-),0.867,0.901,0.908,0.924
687,Finland,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.0884,0.0842,0.0756666667,0.0747
688,Finland,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),434.0670511206,395.369874528,355.0736968315,338.7541865717
689,Finland,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
690,Finland,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
691,Finland,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
693,France,Rural population (1000 inhab),14224.922,13866.281,13442.096,12879.012
694,France,Urban population (1000 inhab),46000.154,48094.669,50197.777,52100.536
695,France,Population density (inhab/km2),108.9137318108,112.675931086,115.7628457994,118.0915028037
696,France,GDP per capita (current US$/inhab),24044.598089,41504.468752,40790.635786,38566.566085
697,France,Human Development Index (HDI) [highest = 1] (-),0.845,0.867,0.878,0.89
698,France,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.172,0.1442,0.095,0.0884
699,France,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),541.223037651,507.6190785445,441.4905045403,407.7263574116
700,France,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
701,France,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
702,France,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
704,Gabon,Rural population (1000 inhab),254.12,242.107,234.816,223.245
705,Gabon,Urban population (1000 inhab),1040.289,1247.086,1522.001,1801.892
706,Gabon,Population density (inhab/km2),4.8130720664,5.501457018,6.5367131169,7.7140620914
707,Gabon,GDP per capita (current US$/inhab),4174.348162,8352.817404,9774.192338,7372.081131
708,Gabon,Human Development Index (HDI) [highest = 1] (-),0.632,0.643,0.672,0.7
709,Gabon,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.535,0.511,0.5137
710,Gabon,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),99.2148659295,94.4603840212,79.5001606006,67.366549094
711,Gabon,Total population with access to safe drinking-water (JMP) (%),85.6,89.3,92.2,93.2
712,Gabon,Rural population with access to safe drinking-water (JMP) (%),44.4,53.7,63.0,66.7
713,Gabon,Urban population with access to safe drinking-water (JMP) (%),94.9,95.8,96.8,97.2
715,Gambia,Rural population (1000 inhab),659.831,715.979,773.029,827.654
716,Gambia,Urban population (1000 inhab),651.518,823.137,1029.096,1272.914
717,Gambia,Population density (inhab/km2),124.2708849558,145.1192920354,168.5852212389,195.919380531
718,Gambia,GDP per capita (current US$/inhab),732.822338,831.45327,785.18679,716.451019
719,Gambia,Human Development Index (HDI) [highest = 1] (-),0.392,0.424,0.441,0.459
720,Gambia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6764,0.6176,0.6236666667,0.6224
721,Gambia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),67.6085143716,61.9569618648,53.3329693813,45.8920930543
722,Gambia,Total population with access to safe drinking-water (JMP) (%),84.0,87.1,90.1,90.2
723,Gambia,Rural population with access to safe drinking-water (JMP) (%),77.6,81.0,84.4,84.4
724,Gambia,Urban population with access to safe drinking-water (JMP) (%),90.4,92.3,94.2,94.2
737,Germany,Rural population (1000 inhab),20097.558,19215.385,18507.405,18672.1
738,Germany,Urban population (1000 inhab),61514.31,62129.072,62558.823,63442.124
739,Germany,Population density (inhab/km2),228.3641104638,227.6052366284,226.7061287342,231.3741329601
740,Germany,GDP per capita (current US$/inhab),25348.252377,42056.381691,43511.891834,44642.742052
741,Germany,Human Development Index (HDI) [highest = 1] (-),0.883,0.914,0.927,0.938
742,Germany,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.126,0.109,0.063,0.0407
743,Germany,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),463.0468444308,397.4023420655,324.8953872824,295.6468712094
744,Germany,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
745,Germany,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
746,Germany,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
748,Ghana,Rural population (1000 inhab),10903.66,11652.304,12333.058,12857.864
749,Ghana,Urban population (1000 inhab),9020.862,11047.908,13399.991,15975.765
750,Ghana,Population density (inhab/km2),84.8762513625,96.2687431877,108.9815125346,122.0821036304
751,Ghana,GDP per capita (current US$/inhab),656.474772,1443.611449,2157.25583,2046.043362
752,Ghana,Human Development Index (HDI) [highest = 1] (-),0.487,0.529,0.57,0.591
753,Ghana,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.5768,0.5556666667,0.5537
754,Ghana,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),51.1819865486,51.0310815049,50.6030631105,50.2927994866
755,Ghana,Total population with access to safe drinking-water (JMP) (%),73.1,79.5,85.4,88.7
756,Ghana,Rural population with access to safe drinking-water (JMP) (%),60.7,69.7,78.6,84.0
757,Ghana,Urban population with access to safe drinking-water (JMP) (%),88.2,89.9,91.6,92.6
759,Greece,Rural population (1000 inhab),2994.553,2822.571,2616.562,2374.332
760,Greece,Urban population (1000 inhab),8222.246,8558.326,8761.695,8785.441
761,Greece,Population density (inhab/km2),84.7401106396,84.2706729312,81.6999469536,80.0958623825
762,Greece,GDP per capita (current US$/inhab),13714.959542,27983.874204,21591.239031,18243.102459
763,Greece,Human Development Index (HDI) [highest = 1] (-),0.818,0.849,0.856,0.871
764,Greece,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.1714,0.1506666667,0.1464
765,Greece,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),828.0046019135,865.952337146,921.5179306427,1063.4706630903
766,Greece,Total population with access to safe drinking-water (JMP) (%),99.1,99.7,100.0,100.0
767,Greece,Rural population with access to safe drinking-water (JMP) (%),97.0,98.9,100.0,100.0
768,Greece,Urban population with access to safe drinking-water (JMP) (%),99.8,99.9,100.0,100.0
781,Guatemala,Rural population (1000 inhab),6592.165,7191.525,7788.239,8341.671
782,Guatemala,Urban population (1000 inhab),5616.683,6508.761,7482.817,8571.832
783,Guatemala,Population density (inhab/km2),112.1209293783,125.8180457342,140.2403434659,155.3399761227
784,Guatemala,GDP per capita (current US$/inhab),1701.761695,2489.954536,3299.603276,4470.96539
785,Guatemala,Human Development Index (HDI) [highest = 1] (-),0.56,0.588,0.613,0.649
786,Guatemala,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.565,0.531,0.5332
787,Guatemala,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),213.5122081328,242.6292452728,217.6772868901,196.5182320749
788,Guatemala,Total population with access to safe drinking-water (JMP) (%),85.2,88.7,92.0,92.8
789,Guatemala,Rural population with access to safe drinking-water (JMP) (%),77.6,81.8,86.0,86.8
790,Guatemala,Urban population with access to safe drinking-water (JMP) (%),94.3,96.2,98.0,98.4
814,Guyana,Rural population (1000 inhab),537.46,543.379,554.275,571.434
815,Guyana,Urban population (1000 inhab),214.424,204.49,198.816,206.425
816,Guyana,Population density (inhab/km2),3.4646183188,3.4724566219,3.5139740429,3.6061869098
817,Guyana,GDP per capita (current US$/inhab),1540.077335,2327.061326,3785.935048,4570.504571
818,Guyana,Human Development Index (HDI) [highest = 1] (-),0.612,0.627,0.652,0.668
819,Guyana,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5292,0.533,0.528,0.5153
820,Guyana,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),2160.7193446735,2030.6132564564,1912.4992222653,1863.5952024065
821,Guyana,Total population with access to safe drinking-water (JMP) (%),87.8,91.8,95.9,98.3
822,Guyana,Rural population with access to safe drinking-water (JMP) (%),84.9,90.1,95.2,98.3
823,Guyana,Urban population with access to safe drinking-water (JMP) (%),95.2,96.3,97.5,98.2
825,Haiti,Rural population (1000 inhab),5394.951,5296.958,5198.418,5013.421
826,Haiti,Urban population (1000 inhab),3439.782,4259.931,5090.792,5967.808
827,Haiti,Population density (inhab/km2),315.4648648649,342.173981982,369.4028828829,395.7609369369
828,Haiti,GDP per capita (current US$/inhab),363.85699,646.054228,759.782595,775.972532
829,Haiti,Human Development Index (HDI) [highest = 1] (-),0.444,0.46,0.478,0.501
830,Haiti,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.5828,0.598,0.6026
831,Haiti,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),156.1887790362,150.2182366498,141.4505805815,132.0298376506
832,Haiti,Total population with access to safe drinking-water (JMP) (%),60.8,60.2,58.5,57.7
833,Haiti,Rural population with access to safe drinking-water (JMP) (%),49.0,48.4,47.9,47.6
834,Haiti,Urban population with access to safe drinking-water (JMP) (%),79.2,73.2,67.3,64.9
847,Honduras,Rural population (1000 inhab),3664.258,3861.301,3980.456,4034.31
848,Honduras,Urban population (1000 inhab),3198.899,3846.671,4525.19,5230.757
849,Honduras,Population density (inhab/km2),61.5989421282,69.4152191306,76.8129700418,83.8208996355
850,Honduras,GDP per capita (current US$/inhab),1145.247701,1603.697792,2178.383025,2493.320528
851,Honduras,Human Development Index (HDI) [highest = 1] (-),0.564,0.595,0.6,0.621
852,Honduras,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.5112,0.4893333333,0.4796
853,Honduras,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),,205.8008958934,185.9804962358,170.4314120683
854,Honduras,Total population with access to safe drinking-water (JMP) (%),82.3,85.9,89.3,91.2
855,Honduras,Rural population with access to safe drinking-water (JMP) (%),71.4,76.1,80.9,83.8
856,Honduras,Urban population with access to safe drinking-water (JMP) (%),94.8,95.8,96.8,97.4
858,Hungary,Rural population (1000 inhab),3550.56,3265.684,2992.731,2813.212
859,Hungary,Urban population (1000 inhab),6617.312,6758.203,6876.953,6908.347
860,Hungary,Population density (inhab/km2),109.2903686983,107.7517897452,106.0341610233,104.5880146189
861,Hungary,GDP per capita (current US$/inhab),6648.666822,13963.24361,12984.579021,14556.367247
862,Hungary,Human Development Index (HDI) [highest = 1] (-),0.784,0.814,0.826,0.841
863,Hungary,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.2528,0.2583333333,0.2089
864,Hungary,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),562.5593386158,557.3706722303,512.0454874002,462.6086209379
865,Hungary,Total population with access to safe drinking-water (JMP) (%),98.6,99.7,100.0,100.0
866,Hungary,Rural population with access to safe drinking-water (JMP) (%),97.1,99.2,100.0,100.0
867,Hungary,Urban population with access to safe drinking-water (JMP) (%),99.4,99.8,100.0,100.0
869,Iceland,Rural population (1000 inhab),20.939,20.516,20.834,20.862
870,Iceland,Urban population (1000 inhab),264.39,284.684,304.692,314.163
871,Iceland,Population density (inhab/km2),2.770184466,2.9629417476,3.1616699029,3.2465339806
872,Iceland,GDP per capita (current US$/inhab),32575.221133,70494.636086,45231.650511,73108.083207
873,Iceland,Human Development Index (HDI) [highest = 1] (-),0.876,0.899,0.908,0.935
874,Iceland,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1324,0.111,0.0906666667,0.0869
875,Iceland,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),578.2798103242,705.806024582,903.7254492526,832.2542636957
876,Iceland,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
877,Iceland,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
878,Iceland,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
880,India,Rural population (1000 inhab),782001.968,826881.86,863513.505,889216.746
881,India,Urban population (1000 inhab),307805.144,352799.379,399552.347,449963.381
882,India,Population density (inhab/km2),332.5922467344,359.9379032994,385.0563225909,407.2319172295
883,India,GDP per capita (current US$/inhab),470.518693,1004.275095,1473.301833,1960.222536
884,India,Human Development Index (HDI) [highest = 1] (-),0.508,0.558,0.6,0.643
885,India,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6086,0.572,0.5629
886,India,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),585.8501141703,604.9816342241,601.2102035907,568.4717988144
887,India,Total population with access to safe drinking-water (JMP) (%),82.5,87.4,92.2,94.1
888,India,Rural population with access to safe drinking-water (JMP) (%),78.4,84.4,90.3,92.6
889,India,Urban population with access to safe drinking-water (JMP) (%),93.0,94.7,96.4,97.1
891,Indonesia,Rural population (1000 inhab),122744.187,122237.436,121265.363,119696.518
892,Indonesia,Urban population (1000 inhab),94763.872,110751.705,127617.869,144294.861
893,Indonesia,Population density (inhab/km2),113.7445081714,121.602698686,130.0161293192,133.6939054694
894,Indonesia,GDP per capita (current US$/inhab),957.780616,1975.167375,3687.95401,3846.426581
895,Indonesia,Human Development Index (HDI) [highest = 1] (-),0.616,0.644,0.682,0.704
896,Indonesia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.5338,0.5026666667,0.494
897,Indonesia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),614.831943411,758.4004297582,830.7603163597,841.2400902543
898,Indonesia,Total population with access to safe drinking-water (JMP) (%),79.3,82.6,85.7,87.4
899,Indonesia,Rural population with access to safe drinking-water (JMP) (%),69.7,73.5,77.2,79.5
900,Indonesia,Urban population with access to safe drinking-water (JMP) (%),91.7,92.7,93.6,94.2
902,Iran (Islamic Republic of),Rural population (1000 inhab),23475.745,22427.746,21594.353,20782.6
903,Iran (Islamic Republic of),Urban population (1000 inhab),44507.585,49603.357,54859.221,60380.188
904,Iran (Islamic Republic of),Population density (inhab/km2),38.5553081397,40.8769876515,43.2856075409,46.2274778672
905,Iran (Islamic Republic of),GDP per capita (current US$/inhab),2207.160338,4857.368423,7887.233696,5679.648509
906,Iran (Islamic Republic of),Human Development Index (HDI) [highest = 1] (-),0.683,0.736,0.782,0.799
907,Iran (Islamic Republic of),Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.584,0.5302,0.5183333333,0.5146
908,Iran (Islamic Republic of),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1350.9738515073,1307.8863232309,1235.1092227075,1156.5081105616
909,Iran (Islamic Republic of),Total population with access to safe drinking-water (JMP) (%),94.5,95.4,96.0,96.2
910,Iran (Islamic Republic of),Rural population with access to safe drinking-water (JMP) (%),87.6,89.6,91.7,92.1
911,Iran (Islamic Republic of),Urban population with access to safe drinking-water (JMP) (%),98.2,98.0,97.7,97.7
913,Iraq,Rural population (1000 inhab),7829.905,8837.116,10019.158,11375.936
914,Iraq,Urban population (1000 inhab),17109.394,19553.317,22757.413,26898.682
915,Iraq,Population density (inhab/km2),56.880632871,63.6777879175,73.2699453175,86.3179137207
916,Iraq,GDP per capita (current US$/inhab),977.977863,3129.224876,6651.12261,4980.948425
917,Iraq,Human Development Index (HDI) [highest = 1] (-),0.616,0.639,0.662,0.684
918,Iraq,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6974,0.544,0.5388
919,Iraq,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),2498.2318563491,1898.8760373596,1370.7830240098,1026.5551304975
920,Iraq,Total population with access to safe drinking-water (JMP) (%),81.3,83.7,86.1,86.6
921,Iraq,Rural population with access to safe drinking-water (JMP) (%),52.2,60.3,68.5,70.1
922,Iraq,Urban population with access to safe drinking-water (JMP) (%),94.7,94.3,93.9,93.8
924,Ireland,Rural population (1000 inhab),1604.488,1717.899,1780.388,1764.335
925,Ireland,Urban population (1000 inhab),2371.8,2680.174,2897.729,2997.322
926,Ireland,Population density (inhab/km2),55.6061183836,61.5344479226,65.569123506,67.6334519067
927,Ireland,GDP per capita (current US$/inhab),32179.605831,61368.715316,48096.164328,70492.921726
928,Ireland,Human Development Index (HDI) [highest = 1] (-),0.871,0.899,0.899,0.939
929,Ireland,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.2004,0.1846,0.133,0.1129
930,Ireland,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),254.1139793513,168.8001385549,186.1899163187,181.1381153936
931,Ireland,Total population with access to safe drinking-water (JMP) (%),96.6,97.1,97.7,97.9
932,Ireland,Rural population with access to safe drinking-water (JMP) (%),97.1,97.4,97.7,97.8
933,Ireland,Urban population with access to safe drinking-water (JMP) (%),96.2,96.9,97.6,97.9
935,Israel,Rural population (1000 inhab),540.933,578.65,619.009,637.763
936,Israel,Urban population (1000 inhab),5698.352,6344.035,7080.096,7683.807
937,Israel,Population density (inhab/km2),279.5338921613,310.2465337562,345.0363389216,373.5318531944
938,Israel,GDP per capita (current US$/inhab),19412.992072,25851.249172,33403.901948,42450.331893
939,Israel,Human Development Index (HDI) [highest = 1] (-),0.865,0.881,0.893,0.904
940,Israel,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1836,0.1598,0.115,0.1009
941,Israel,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),296.7915552348,275.0344998007,262.7725033592,279.4811355086
942,Israel,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
943,Israel,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
944,Israel,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
946,Italy,Rural population (1000 inhab),18853.502,18995.609,18706.111,17722.588
